antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,rule_str,algorithm
DEVICE_info_Windows,"DEVICE_type_desktop, FRAUD",0.0825,0.01026,0.00544,0.06593939393939394,6.426841514560812,1.0,0.00459355,1.0596100441214638,0.9203297804135278,0.062299587723316535,0.05625658651705897,0.29807690944533055,DEVICE_info_Windows  →  DEVICE_type_desktop + FRAUD,Apriori
PROD_C,"AMT_micro, FRAUD",0.1166,0.01256,0.00908,0.07787307032590052,6.200085217030296,1.0,0.0076155039999999995,1.0708287202380953,0.9494135094782972,0.07561625582944703,0.0661438369175854,0.4004015033158165,PROD_C  →  AMT_micro + FRAUD,Apriori
PROD_C,"DEVICE_type_desktop, FRAUD",0.1166,0.01026,0.00712,0.06106346483704974,5.951604759946369,1.0,0.005923683999999999,1.054107453416149,0.9417909099928011,0.05946216803073325,0.0513301117839531,0.37751028992339813,PROD_C  →  DEVICE_type_desktop + FRAUD,Apriori
PROD_C,"DEVICE_type_mobile, FRAUD",0.1166,0.0095,0.006,0.051457975986277875,5.416629051187145,1.0,0.0048923000000000005,1.04423417721519,0.9230058108821976,0.04995836802664447,0.04236039978422804,0.3415184616773495,PROD_C  →  DEVICE_type_mobile + FRAUD,Apriori
"CARD_type_credit, PROD_C",FRAUD,0.04656,0.03586,0.00804,0.17268041237113405,4.815404695235193,1.0,0.0063703584,1.1653779439252336,0.8310256904769657,0.10809357354127455,0.14190927912039128,0.1984428274906423,CARD_type_credit + PROD_C  →  FRAUD,Apriori
DEVICE_type_mobile,"FRAUD, PROD_C",0.09272,0.01386,0.006,0.06471095772217429,4.668900268555143,1.0,0.0047149008,1.0543692435424354,0.8661237986068246,0.05965400676078744,0.051565657738428916,0.2488056953113036,DEVICE_type_mobile  →  FRAUD + PROD_C,Apriori
PROD_C,"EMAIL_webmail, FRAUD",0.1166,0.02582,0.01214,0.10411663807890223,4.032402714132542,1.0,0.009129388,1.087396017614398,0.85126657936481,0.0931839115750691,0.08037183896087194,0.2871473972733783,PROD_C  →  EMAIL_webmail + FRAUD,Apriori
"CARD_type_credit, DEVICE_type_mobile",FRAUD,0.03882,0.03586,0.0055,0.1416795466254508,3.9509076024944445,1.0,0.004107914799999999,1.1232867587034814,0.777059031606983,0.07950274645851403,0.10975537434962847,0.14752688987714258,CARD_type_credit + DEVICE_type_mobile  →  FRAUD,Apriori
PROD_C,"CARD_type_credit, FRAUD",0.1166,0.01762,0.00804,0.06895368782161236,3.9133761533264675,1.0,0.0059855080000000005,1.0551354826823878,0.8427282874736575,0.06371849738468853,0.05225441053524335,0.2626266736497392,PROD_C  →  CARD_type_credit + FRAUD,Apriori
PROD_C,"DIST1_veryclose, FRAUD",0.1166,0.03144,0.01386,0.1188679245283019,3.780786403571943,1.0,0.010194096,1.0992222698072804,0.8325840637364296,0.10329408257564467,0.090265883918706,0.2798538095923952,PROD_C  →  DIST1_veryclose + FRAUD,Apriori
"DEVICE_type_desktop, PROD_C",FRAUD,0.0547,0.03586,0.00712,0.13016453382084095,3.629797373698855,1.0,0.0051584579999999994,1.1084165195460276,0.7664260320426188,0.08533077660594439,0.09781207482403069,0.16435722508108414,DEVICE_type_desktop + PROD_C  →  FRAUD,Apriori
"EMAIL_webmail, PROD_C",FRAUD,0.0934,0.03586,0.01214,0.12997858672376875,3.6246120112595857,1.0,0.008790675999999999,1.1081796209697268,0.7987077012761259,0.10365437158469946,0.09761921165366932,0.23425867428770702,EMAIL_webmail + PROD_C  →  FRAUD,Apriori
"DEVICE_type_mobile, PROD_C",FRAUD,0.0488,0.03586,0.006,0.12295081967213115,3.4286341235954025,1.0,0.004250032,1.0992998130841123,0.7446790019624333,0.07627765064836002,0.0903300554609612,0.14513408245179338,DEVICE_type_mobile + PROD_C  →  FRAUD,Apriori
"CARD_brand_visa, PROD_C",FRAUD,0.06932,0.03586,0.00848,0.12233121754183496,3.4113557596719173,1.0,0.0059941848,1.0985237475345166,0.7595106965813595,0.08769389865563598,0.089687407992444,0.17940319940114613,CARD_brand_visa + PROD_C  →  FRAUD,Apriori
DEVICE_type_mobile,"CARD_type_credit, FRAUD",0.09272,0.01762,0.0055,0.0593183779119931,3.366536771395749,1.0,0.0038662735999999997,1.0443278330658106,0.7747981178507587,0.05246089278901183,0.042446281390086424,0.18573183367790347,DEVICE_type_mobile  →  CARD_type_credit + FRAUD,Apriori
"DIST1_veryclose, PROD_C",FRAUD,0.1166,0.03586,0.01386,0.1188679245283019,3.314777594208084,1.0,0.009678724,1.0942059957173447,0.7904920024005376,0.10000000000000002,0.08609530206017996,0.2526854960064822,DIST1_veryclose + PROD_C  →  FRAUD,Apriori
"DIST2_q1, PROD_C",FRAUD,0.1166,0.03586,0.01386,0.1188679245283019,3.314777594208084,1.0,0.009678724,1.0942059957173447,0.7904920024005376,0.10000000000000002,0.08609530206017996,0.2526854960064822,DIST2_q1 + PROD_C  →  FRAUD,Apriori
PROD_C,"DIST2_q1, FRAUD",0.1166,0.03586,0.01386,0.1188679245283019,3.314777594208084,1.0,0.009678724,1.0942059957173447,0.7904920024005376,0.10000000000000002,0.08609530206017996,0.2526854960064822,PROD_C  →  DIST2_q1 + FRAUD,Apriori
PROD_C,FRAUD,0.1166,0.03586,0.01386,0.1188679245283019,3.314777594208084,1.0,0.009678724,1.0942059957173447,0.7904920024005376,0.10000000000000002,0.08609530206017996,0.2526854960064822,PROD_C  →  FRAUD,Apriori
DEVICE_type_mobile,"EMAIL_webmail, FRAUD",0.09272,0.02582,0.00786,0.08477135461604833,3.283166329049122,1.0,0.0054659696,1.0644116144237568,0.7664844145619499,0.07101554029634985,0.0605138214868385,0.19459326832274146,DEVICE_type_mobile  →  EMAIL_webmail + FRAUD,Apriori
DEVICE_info_Windows,"DEVICE_type_desktop, FRAUD",0.0825,0.01026,0.00544,0.06593939393939394,6.426841514560812,1.0,0.00459355,1.0596100441214638,0.9203297804135278,0.062299587723316535,0.05625658651705897,0.29807690944533055,DEVICE_info_Windows  →  DEVICE_type_desktop + FRAUD,FP-Growth
PROD_C,"AMT_micro, FRAUD",0.1166,0.01256,0.00908,0.07787307032590052,6.200085217030296,1.0,0.0076155039999999995,1.0708287202380953,0.9494135094782972,0.07561625582944703,0.0661438369175854,0.4004015033158165,PROD_C  →  AMT_micro + FRAUD,FP-Growth
PROD_C,"DEVICE_type_desktop, FRAUD",0.1166,0.01026,0.00712,0.06106346483704974,5.951604759946369,1.0,0.005923683999999999,1.054107453416149,0.9417909099928011,0.05946216803073325,0.0513301117839531,0.37751028992339813,PROD_C  →  DEVICE_type_desktop + FRAUD,FP-Growth
PROD_C,"DEVICE_type_mobile, FRAUD",0.1166,0.0095,0.006,0.051457975986277875,5.416629051187145,1.0,0.0048923000000000005,1.04423417721519,0.9230058108821976,0.04995836802664447,0.04236039978422804,0.3415184616773495,PROD_C  →  DEVICE_type_mobile + FRAUD,FP-Growth
"CARD_type_credit, PROD_C",FRAUD,0.04656,0.03586,0.00804,0.17268041237113405,4.815404695235193,1.0,0.0063703584,1.1653779439252336,0.8310256904769657,0.10809357354127455,0.14190927912039128,0.1984428274906423,CARD_type_credit + PROD_C  →  FRAUD,FP-Growth
DEVICE_type_mobile,"FRAUD, PROD_C",0.09272,0.01386,0.006,0.06471095772217429,4.668900268555143,1.0,0.0047149008,1.0543692435424354,0.8661237986068246,0.05965400676078744,0.051565657738428916,0.2488056953113036,DEVICE_type_mobile  →  FRAUD + PROD_C,FP-Growth
PROD_C,"EMAIL_webmail, FRAUD",0.1166,0.02582,0.01214,0.10411663807890223,4.032402714132542,1.0,0.009129388,1.087396017614398,0.85126657936481,0.0931839115750691,0.08037183896087194,0.2871473972733783,PROD_C  →  EMAIL_webmail + FRAUD,FP-Growth
"CARD_type_credit, DEVICE_type_mobile",FRAUD,0.03882,0.03586,0.0055,0.1416795466254508,3.9509076024944445,1.0,0.004107914799999999,1.1232867587034814,0.777059031606983,0.07950274645851403,0.10975537434962847,0.14752688987714258,CARD_type_credit + DEVICE_type_mobile  →  FRAUD,FP-Growth
PROD_C,"CARD_type_credit, FRAUD",0.1166,0.01762,0.00804,0.06895368782161236,3.9133761533264675,1.0,0.0059855080000000005,1.0551354826823878,0.8427282874736575,0.06371849738468853,0.05225441053524335,0.2626266736497392,PROD_C  →  CARD_type_credit + FRAUD,FP-Growth
PROD_C,"DIST1_veryclose, FRAUD",0.1166,0.03144,0.01386,0.1188679245283019,3.780786403571943,1.0,0.010194096,1.0992222698072804,0.8325840637364296,0.10329408257564467,0.090265883918706,0.2798538095923952,PROD_C  →  DIST1_veryclose + FRAUD,FP-Growth
"DEVICE_type_desktop, PROD_C",FRAUD,0.0547,0.03586,0.00712,0.13016453382084095,3.629797373698855,1.0,0.0051584579999999994,1.1084165195460276,0.7664260320426188,0.08533077660594439,0.09781207482403069,0.16435722508108414,DEVICE_type_desktop + PROD_C  →  FRAUD,FP-Growth
"EMAIL_webmail, PROD_C",FRAUD,0.0934,0.03586,0.01214,0.12997858672376875,3.6246120112595857,1.0,0.008790675999999999,1.1081796209697268,0.7987077012761259,0.10365437158469946,0.09761921165366932,0.23425867428770702,EMAIL_webmail + PROD_C  →  FRAUD,FP-Growth
"DEVICE_type_mobile, PROD_C",FRAUD,0.0488,0.03586,0.006,0.12295081967213115,3.4286341235954025,1.0,0.004250032,1.0992998130841123,0.7446790019624333,0.07627765064836002,0.0903300554609612,0.14513408245179338,DEVICE_type_mobile + PROD_C  →  FRAUD,FP-Growth
"CARD_brand_visa, PROD_C",FRAUD,0.06932,0.03586,0.00848,0.12233121754183496,3.4113557596719173,1.0,0.0059941848,1.0985237475345166,0.7595106965813595,0.08769389865563598,0.089687407992444,0.17940319940114613,CARD_brand_visa + PROD_C  →  FRAUD,FP-Growth
DEVICE_type_mobile,"CARD_type_credit, FRAUD",0.09272,0.01762,0.0055,0.0593183779119931,3.366536771395749,1.0,0.0038662735999999997,1.0443278330658106,0.7747981178507587,0.05246089278901183,0.042446281390086424,0.18573183367790347,DEVICE_type_mobile  →  CARD_type_credit + FRAUD,FP-Growth
PROD_C,"DIST2_q1, FRAUD",0.1166,0.03586,0.01386,0.1188679245283019,3.314777594208084,1.0,0.009678724,1.0942059957173447,0.7904920024005376,0.10000000000000002,0.08609530206017996,0.2526854960064822,PROD_C  →  DIST2_q1 + FRAUD,FP-Growth
"DIST1_veryclose, PROD_C",FRAUD,0.1166,0.03586,0.01386,0.1188679245283019,3.314777594208084,1.0,0.009678724,1.0942059957173447,0.7904920024005376,0.10000000000000002,0.08609530206017996,0.2526854960064822,DIST1_veryclose + PROD_C  →  FRAUD,FP-Growth
"DIST2_q1, PROD_C",FRAUD,0.1166,0.03586,0.01386,0.1188679245283019,3.314777594208084,1.0,0.009678724,1.0942059957173447,0.7904920024005376,0.10000000000000002,0.08609530206017996,0.2526854960064822,DIST2_q1 + PROD_C  →  FRAUD,FP-Growth
PROD_C,FRAUD,0.1166,0.03586,0.01386,0.1188679245283019,3.314777594208084,1.0,0.009678724,1.0942059957173447,0.7904920024005376,0.10000000000000002,0.08609530206017996,0.2526854960064822,PROD_C  →  FRAUD,FP-Growth
DEVICE_type_mobile,"EMAIL_webmail, FRAUD",0.09272,0.02582,0.00786,0.08477135461604833,3.283166329049122,1.0,0.0054659696,1.0644116144237568,0.7664844145619499,0.07101554029634985,0.0605138214868385,0.19459326832274146,DEVICE_type_mobile  →  EMAIL_webmail + FRAUD,FP-Growth
PROD_C,FRAUD,,,0.01386,0.1188679245283019,3.314777594208084,,0.009678724,1.094205995593163,,,,,PROD_C  →  FRAUD,ECLAT
DEVICE_type_mobile,FRAUD,,,0.0095,0.10245901639344263,2.857195102996169,,0.0061750608,1.0742016437159339,,,,,DEVICE_type_mobile  →  FRAUD,ECLAT
DEVICE_type_desktop,FRAUD,,,0.01026,0.07012028430836523,1.9553899695584278,,0.005012964799999999,1.036843780573489,,,,,DEVICE_type_desktop  →  FRAUD,ECLAT
CARD_type_credit,FRAUD,,,0.01762,0.06931004641648965,1.9327954940460024,,0.0085036708,1.0359411275302801,,,,,CARD_type_credit  →  FRAUD,ECLAT
DEVICE_info_Windows,FRAUD,,,0.00544,0.06593939393939394,1.838800723351755,,0.00248155,1.0322028288539362,,,,,DEVICE_info_Windows  →  FRAUD,ECLAT
